scenario,plant_id,controller,mean_cost,peak_error,tail_rms_error,tail_growth_ratio,max_abs_u,mean_step_ms,median_step_ms,p95_step_ms,max_step_ms,utilization_pct,benchmark_samples,late_escalation,failure,failure_reason,failure_detail,rank_mean_cost,rank_peak_error,rank_tail_rms_error,rank_tail_growth_ratio,rank_max_abs_u,rank_failure,composite_rank
disturbed,stable__lhp_zero,32_32 (compact6),0.08167923716205519,2.0,0.029040266377553227,0.7541857198553035,1.3104625990674204,0.006885451320132013,0.006871079207920792,0.007185437623762376,0.007378297029702971,0.007185437623762376,12,False,False,,,9.0,5.5,5.0,6.0,1.0,5.5,5.333333333333333
disturbed,stable__lhp_zero,16_16_16 (rich11),0.07964479630271519,2.0,0.02991404493214698,0.6614693728584271,1.3788738676009387,0.007767978547854785,0.007842618811881188,0.008037101485148515,0.008048673267326733,0.008037101485148515,12,False,False,,,5.0,5.5,7.0,1.0,5.0,5.5,4.833333333333333
disturbed,stable__lhp_zero,16_16_16 (compact6),0.08076533740972644,2.0,0.03106529083644034,0.7736956660208401,1.3727948841673103,0.007649751650165018,0.007643148514851485,0.008035126732673268,0.008177386138613862,0.008035126732673268,12,False,False,,,8.0,5.5,8.0,7.0,4.0,5.5,6.333333333333333
disturbed,stable__lhp_zero,32_32_32 (rich11),0.07982353056151442,2.0,0.02764131894074269,0.8023829086624646,1.4009850020664762,0.008601314356435642,0.00851670792079208,0.009153384653465347,0.009217821782178217,0.009153384653465347,12,False,False,,,7.0,5.5,4.0,8.0,8.0,5.5,6.333333333333333
disturbed,stable__lhp_zero,32_32_32 (compact6),0.079581552879799,2.0,0.027599290637901744,0.7141689012787938,1.3875999464398237,0.008406213696369636,0.008333950495049505,0.008858741089108911,0.009296198019801982,0.008858741089108911,12,False,False,,,4.0,5.5,3.0,5.0,7.0,5.5,5.0
hidden_pole,stable__lhp_zero,MPC,0.08978543256627396,2.0,6.53917916184399e-09,0.10414987606266919,1.7018799634484516,0.019998796204620462,0.01966026732673267,0.02128950148514851,0.021896445544554454,0.02128950148514851,12,False,False,,,1.0,5.5,1.0,2.0,10.0,5.5,4.166666666666667
hidden_pole,stable__lhp_zero,RL (PID-features),0.09081248249723145,2.0,3.601263572518413e-08,0.07482490282291131,1.538217169381218,0.0022321930693069304,0.0022405148514851483,0.0022715559405940594,0.0022726831683168316,0.0022715559405940594,12,False,False,,,4.0,5.5,2.0,1.0,9.0,5.5,4.5
hidden_pole,stable__lhp_zero,16_16 (rich11),0.0925497168241259,2.0,0.001156301004873736,0.675327209205121,1.3910153901846496,0.005963112211221123,0.006163985148514852,0.006833687623762376,0.006972772277227723,0.006833687623762376,12,False,False,,,8.0,5.5,10.0,10.0,2.0,5.5,6.833333333333333
hidden_pole,stable__lhp_zero,16_16 (compact6),0.09064210809956715,2.0,2.561107618064144e-06,0.10857995405186498,1.4917075184404363,0.006253334983498351,0.006292905940594059,0.006401732673267327,0.00643440594059406,0.006401732673267327,12,False,False,,,3.0,5.5,3.0,3.0,7.0,5.5,4.5
hidden_pole,stable__lhp_zero,32_32 (rich11),0.0909526820011835,2.0,0.00011029683935222964,0.3092895422915664,1.5166105156175715,0.006992334983498351,0.006968029702970297,0.007303155940594059,0.0073378712871287124,0.007303155940594058,12,False,False,,,5.0,5.5,7.0,6.0,8.0,5.5,6.166666666666667
