mode,N,x0,theta0_deg,pass_case,survived_horizon,settled,failure_reason,failure_time_s,steps_completed,max_abs_theta_deg,max_abs_x_m,max_abs_u_n,final_x_m,final_theta_deg,final_rate_norm
fixed,60,0.0,-3.0000000000000004,False,True,False,--,nan,401,3.0000000000000004,0.4879507096185794,3.9943199210638487,0.4879507096185794,0.007094163790289512,0.05460320321186984
fixed,60,0.0,3.0000000000000004,False,True,False,--,nan,401,3.0000000000000004,0.4879507096185794,3.9943199210638487,-0.4879507096185794,-0.007094163790289512,0.05460320321186984
fixed,60,0.0,5.0,False,True,False,--,nan,401,5.0,0.8200143784342696,6.657199868439785,-0.8200143784342696,-0.01192474897414791,0.09178382430679556
fixed,60,0.0,8.0,False,True,False,--,nan,401,8.0,1.367182781164427,9.999999999999995,-1.367182781164427,-0.019909573037484397,0.1532423795375017
fixed,60,0.05,-8.0,False,True,False,--,nan,401,8.0,1.4171827813143232,10.0,1.4171827813143232,0.019909573012165786,0.1532423795746441
fixed,60,0.05,-5.0,False,True,False,--,nan,401,5.0,0.8700143785849895,6.6571998684228895,0.8700143785849895,0.011924748948841768,0.09178382434403388
fixed,60,0.05,-3.0000000000000004,False,True,False,--,nan,401,3.0000000000000004,0.5379507097693323,3.994319921046991,0.5379507097693323,0.007094163764983847,0.054603203249111824
fixed,60,0.05,3.0000000000000004,False,True,False,--,nan,401,3.0000000000000004,0.4379507094678298,3.9943199210807445,-0.4379507094678298,-0.007094163815595221,0.0546032031746282
fixed,60,0.05,5.0,False,True,False,--,nan,401,5.0,0.7700143782835553,6.657199868456631,-0.7700143782835553,-0.01192474899945414,0.09178382426955792
fixed,60,0.05,8.0,False,True,False,--,nan,401,8.0,1.3171827810145365,9.999999999999993,-1.3171827810145365,-0.019909573062803117,0.15324237950036018
successive,20,-0.05,-8.0,False,True,False,--,nan,401,8.0,1.8800622201358266,9.970832739025038,1.8800622201358266,-0.05256465070569598,0.2743626565663548
successive,20,-0.05,-5.0,False,True,False,--,nan,401,5.0,0.9310436997388414,6.733096955229402,0.9310436997388414,-0.012869804178264116,0.12867329724954776
successive,20,-0.05,-3.0000000000000004,False,True,False,--,nan,401,3.0000000000000004,0.5035374438272616,4.009665123558556,0.5035374438272616,-0.004748186635778485,0.07066951664432825
successive,20,-0.05,3.0000000000000004,False,True,False,--,nan,401,3.0000000000000004,0.6049736508180628,4.009651995305163,-0.6049736508180628,0.005481526217608897,0.0711941542694235
successive,20,-0.05,5.0,False,True,False,--,nan,401,5.0,1.0324911446053788,6.733078228384588,-1.0324911446053788,0.01360495043901994,0.12920065737817635
successive,20,-0.05,8.0,False,True,False,--,nan,401,8.0,1.9815840455686848,9.970831361399405,-1.9815840455686848,0.053312024413501774,0.2749082275921954
successive,20,0.0,-8.0,False,True,False,--,nan,401,8.0,1.9308231326820764,9.97083205021222,1.9308231326820764,-0.052938337433506316,0.27463544200686074
successive,20,0.0,-5.0,False,True,False,--,nan,401,5.0,0.981767422061464,6.733087591806955,0.981767422061464,-0.013237377275871253,0.12893697728481218
successive,20,0.0,-3.0000000000000004,False,True,False,--,nan,401,3.0000000000000004,0.5542555472935103,4.00965855943188,0.5542555472935103,-0.0051148564135752115,0.07093183544457449
successive,20,0.0,3.0000000000000004,False,True,False,--,nan,401,3.0000000000000004,0.5542555472935103,4.00965855943188,-0.5542555472935103,0.0051148564135752115,0.07093183544457449
